analyst_id,paper_id,original_claim,task1_conclusion,task2_conclusion,is_it_opposite,coded_by,notes
5AV43,Antràs_Econometrica_2013_a2Yx,"We uncover a positive ... relationship between each of the measures of downstreamness and the intrafirm import share in a given sector, with this relationship emerging only for high values of the demand elasticity faced by buyer industries (p. 2132.)","I find no clear evidence for an association between downstreamness and intrafirm imports that differ by levels of demand elasticity faced by buyer industries, mainly because of conflicting results that may arise due to supressor effects.",I find no evidence for an association between downstreamness and the intrafirm import share in a given sector that is dependent on the values of demand elasticity faced by buyer industries,Yes,Marci,NA
5BSO9,Kleven_AmEcoRev_2013_Jg9v,tax cut to foreigners in Denmark...  changed the ability composition of foreigners in favor of higher-ability players...(p. 1912),The 1992 Danish tax reform significantly increased the share of top foreign players in the Danish league.,There is no significant evidence that the 1991 Danish tax reform changed the share of top quality foreign players playing in the Danish league.,Yes,Marci,NA
5EDOR,Clark_JournPoliEco_2009_e5rW,I find that schools that converted to GM [grant maintained] status enjoyed large improvements in student achievement (p. 777.),There is weak/insignificant evidence that the change to the GM status indeed improved school performance two years later.,The GM transition had no significant effect on student pass rates 2 years after the transition.,Yes,Marci,NA
5Q0NR,Kucik_BritJournPoliSci_2016_L22B,"Looking at product-level trade flows from all disputes between 1995 and 2011, it finds that private (early) settlements lead to discriminatory trade outcomes – complainant countries gain ... more than the rest of the membership. (p. 861.)","Across multiple mixed effects models, there was a consistent and robust main effect of complainant status, indicating that complainants export more to respondents in leading up to and after a settlement has been reached. There was no evidence of complainants gaining more from disputes, be it private or after a ruling, than other countries.",There is no support for the hypothesis that complainants gain more from early settled disputes as compared to other countries.,Yes,Marci,NA
5X3KG,Kuo_Demography_2016_JWzJ,cohabitors have increasingly become less likely to progress to marriage (p. 932),The results didn‚Äôt show evidence for the relationship/effect as described in the claim provided: ‚Äúcohabitors have increasingly become less likely to progress to marriage (p.932)‚Äù,The results show evidence for the opposite effect to that described in the claim provided: “cohabitors have increasingly become less likely to progress to marriage (p.932)”,Yes,Marci,NA
7ZZIN,Baker_WorldPolitics_2011_9lBL,... leftist victories in presidential elections result from voters’ declining enthusiasm for market reforms ... (p. 44.),"In conclusion, the analysis partially replicated the main paper's findings, as most coefficients aligned in direction and sometimes in significance. However, including standard controls easily makes the results statistically insignificant at 0.05 levels.",Wild-boostrap: Prob>|t| =     0.0991,Yes,Marci,There is an unsure replication of effect which I think could be flagged as Yes and unreliable effect
8AYYN,Menaldo_AmJourPoliSci_2016_Vx4e,"... after controlling for the profit potential implied by financial repression, as states grow weaker they increase the amount of credit directed to the government and SOEs. (p. 463.)","The quality of the government could not significantly predict the credits directed to the government or SOEs after controlling for private credit. The relationship between quality of government and credits directed to government or SOEs has shown significant variance in intercepts, and the slopes varied across countries. In conclusion, the relationship between quality of government and directed credit does not support the claim in the article when the countries from which the data come are taken into consideration.","The quality of the government could not significantly predict the credits directed to the government or SOEs after controlling for private credit. The relationship between quality of government and credits directed to government or SOEs has shown significant variance in intercepts, and the slopes varied across countries. In conclusion, the relationship between quality of government and directed credit does not support the claim in the article when the countries from which the data come are taken into consideration.",Yes,Marci,NA
9T4QV,Chen_Demography_2018_yAPR,Well-being gains of marriage are larger than those of cohabitation. (p. 2299.),"Both cohabitation with a partner and a spouse demonstrated reductions in well-being. These reductions, however, were greater in married cases compared with unmarried cases.","Happiness when cohabiting with a partner (difference = -0.043, 95% CI: -0.155 to 0.068) and with a spouse (difference = -0.121, 95% CI: -0.263 to -0.021), and life satisfaction when cohabiting with a partner (difference = -0.001, 95% CI: -0.113 to 0.111) and with a spouse (difference = -0.079, 95% CI: -0.221 to -0.064), both indicated decreases in wellbeing. Whilst both cohabitation states indicated reductions in well-being, multivariate analysis revealed the reductions were not significantly different in married states compared with unmarried states (p = .268).",Yes,Marci,NA
A1SBQ,Angrist_AmEcoRev_2009_Gv3O,The experiment used a school-based randomization design offering awards to all who passed their exams in treated schools. This led to a substantial increase in certification rates for girls... (p. 1384.),"The results are inconsistent in the different used panels, and it can be concluded that rewarding does not improve enrolment in post-secondary studies. In fact, this may be just the opposite for boys.",Differences between the intervention and control group are not consistent.,Yes,Marci,I am not sure what 'consistent' is reffering to so this might be a No or a Yes code.
AATZ7,BATESON_AmPoliSciRev_2012_RYKv,individuals who report recent crime victimization participate in politics more than comparable nonvictims. (p. 570.),The findings were mixed. Some of the analyses supported the author's claims and others did not.,"Again, the i was not able to test the authors hypothesis because the protest variable wasn't about actually participating in a protest. the author may have had a good rationale for using this variable as a DV, or it is possible I am an idiot and just couldn't find the variable in the data set.",Yes,Marci,"This claim is not actually opposite, I recommend a review of the replication to decide"
ABR43,Chen_Demography_2018_yAPR,Well-being gains of marriage are larger than those of cohabitation. (p. 2299.),"The average well-being gains from cohabitation are comparable to, or even greater than, those from marriage, especially among younger cohorts.","For women, the average well-being gains from cohabitation are of a similar small magnitude as those from marriage. Decisions concerning the composition of the sample are important: The exclusion of widows unveiled slightly higher average effects for cohabitation compared to marriage. Furthermore, it is crucial to examine temporal dynamics, such as the immediate effects of transitioning into marriage or cohabitation, aspects left unexplored in the original study. For women, the immediate effect of marriage was either marginally larger than that of cohabitation or comparable to it.
IMPORTANT NOTE: The response provided in Question 12 refers only to the average effects (in accordance with the approach taken in the original study).",Yes,Marci,NA
AHW5W,Marshall_BritJournPoliSci_2015_GOYb,the study finds ... support for the ownership-constraint hypothesis in which foreign ownership reduces turnout ... (p. 353.),"Only FDI stock (not FDI flows and portfolio equity) negatively, but trade positively, predict turnout. Thus, the evidence related to the claim foreign ownership reduces turnout is mixed.",The evidence supports the claim that foreign ownership reduces turnout.,No,Marci,Conclusions are the same
BIMKS,Luttrell_JournExpSocPsych_2016_rjb,"Across these longitudinal studies examining different attitude objects, greater certainty was associated with greater stability across different time points as ambivalence decreased... (p. 56.)","The interaction between attitude certainty and objective ambivalence in predicting attitude change was supported by a marginally significant model in Study 2, but not from the corresponding model in Study 1; in both studies the models had a very low explanatory power, and an interaction term that was significant. The covariate of attitude extremity was more predictive of attitude change.","The model of attitude certainty, objective ambivalence, and their interaction do not significantly predict attitude change.",Yes,Marci,Null effect is ok
BX332,Miller_JournConflictRes_2011_zV1O,"As threats to political survival increase, the likelihood of conflict involvement increases. (p. 199.)",There is no evidence for a relationship between threats to political survival and conflict involvement.,There is no evidence for a relationship between threats to political survival and conflict involvement.,Yes,Marci,NA
BZZQQ,Baker_WorldPolitics_2011_9lBL,... leftist victories in presidential elections result from voters’ declining enthusiasm for market reforms ... (p. 44.),"I conclude that support for market reform is not significantly related to leftist victories (b = .47, p = .41).  The reason the authors report otherwise might be due to their inclusion of control variables, which probably overshadow/distort the null findings. I, however, believe this is the most stringent test of their hypothesis.",There is no significant relationship between mass support for market reforms and VLR.,Yes,Marci,NA
CGTZS,Hertel_ClinPsychSci_2018_YabW,Nonruminators’ responses in the ... transfer tasks revealed that suppression practice can be beneficial (p. 879.),"The use of free association task as an indirect test of TNT requires more stringent subject screening, otherwise as Hertel et al discussed, it will become a direct memory test. With this limitation in mind, the re-analysis of Hertal et al's original data failed to reveal the suggested benefit of suppression on non-ruminators after further subject exclusion.",There is no evidence showing suppression during TNT exert differential influence on the Non-ruminator group and the ruminator group.,Yes,Marci,NA
D1BSS,Gerber_BritJournPoliSci_2018_3WmY,participants change their opinions more often when rational justification is used in the discussions (p. 1093).,"There was an absence of evidence to allow rejection of the null hypothesis, namely that discussion quality does not predict the magnitude of opinion change.","The analysis found that discussion quality was not able to predict the magnitude of opinion change for all non-zero values of the log of opinion change (Wald's z = -1.159, p = .247)",Yes,Marci,NA
DAB9D,Brancati_JournConflictRes_2013_V0PA,... holding elections soon after a civil war ends ... increases the likelihood of renewed fighting ...(p. 822.),"The results showed no effect of the post-conflict election timing over the probabilty of a new war, and a significant effect of the UN intervention.","The results showed no effect of the election timing over the probabilty of a new war and a significant effect of the UN intervention, victory, post-cold war era and decentralization.",Yes,Marci,NA
E3Z4P,Bingham Powell_CompPolitStu_2009_0PZl,"Under SMD (single member district) election rules, party competition should lead the plurality vote winner to be close to the median voter. (p. 1484.)",I do not find support for the proposition that the plurality vote winner under SMD is closer to the median voter than the plurality vote winner under PR.,"I am not able to reject the null hypothesis that the distance between the plurality vote winner and the median voter is the same under PR and SMD. More directly, I do not find the materials presented here to be sufficient to test the claim provided to me, or to replicate the paper.",Yes,Marci,Null effect is ok
F32UK,Cingranelli_BritJournPoliSci_2014_qg47,a higher reliance on taxes ... lead[s] to the better protection of human rights. (p. 605.),"Tax income and state revenues influence the protection of human right, as measured through two different indices (CIRI and PTSS). Some additional variables, too, influence human rights protection.",No significant relationship between perceived physical integrity and reliance on taxes could be observed.,Yes,Marci,Null effect is ok
FO7L6,Barreca_JournPoliEco_2016_J999,"there was a ... decline in the temperature-mortality relationship across decades
(p. 133.)",The results obtained with this approach do not validate the conclusion of the article: no trend toward a decline in the temperature-mortality relationship across decades was found in this review.,"To conclude, there is a significant difference of mortality between the two periods (present and past). But, contrary to the conclusion of the original article, this difference is not higher in high-temperature conditions. To go further, it seems to me that the difference of mortality between past and present may indeed higher in extreme temperature conditions. Yet, this difference is higher for “cold” events than for “hot” events. So I can not confirm the conclusion of the original article.",Yes,Marci,NA
FQF87,Waller_JournMarFam_2014_AXBY,... conﬂicting reports [about who their child lived with] were much more likely when fathers spent nights with the mother (an indicator of part-time cohabitation)… (p. 73),There is no indication that there is an effect of parents spending nights together on discrepant reports of where the child lives.,"I cannot verify the claim. Based on my analysis, there is no statistically significant support for the claim that discrepant reports between mothers and fathers about where the focal child lives are higher when they spend nights together.",Yes,Marci,NA
FSF14,Baker_WorldPolitics_2011_9lBL,... leftist victories in presidential elections result from voters’ declining enthusiasm for market reforms ... (p. 44.),"We cannot reject the null hypotheses that leftist victories in either presidential (p = 0.914) or parliamentary (p = 0.335) elections are not associated with changing voter opinions about market-related issues. The presidential model has 8.27 model degrees of freedom and 217.73 residual degrees of freedom, while the parliamentary model has 7.69 model degrees of freedom and 218.31 residual degrees of freedom. Even in simpler models with only one independent variable, neither the average opinion on privatisation nor the overall market-related component have a significant relationship with left-wing success in presidential (p = 0.898 for privatisation; 0.26 for overall market) or parliamentary (p = 0.749 for privatisation; 0.549 for overall market) elections. Note that degrees of freedom are not integeres since we are using generalized additive models.","We cannot reject the null hypotheses that leftist victories in elections are not associated with changing voter opinions about market-related issues, controlling for incumbent government ideology and political skew in elections.",Yes,Fruzsi,NA
GKHP1,Waller_JournMarFam_2014_AXBY,... conﬂicting reports [about who their child lived with] were much more likely when fathers spent nights with the mother (an indicator of part-time cohabitation)… (p. 73),I d do not find evidence for the claim in the paper. Note that I did no efforts to construct the exact sample (which seems to be difficult per documentation by the reproduction analyst) but I interpreted the claim and went about with the Fragile Families data.,The conclusion of task 1 remains unaltered. I do not find evidence that disagreement increases with cohabitation.,Yes,Fruzsi,NA
JE3RS,Sliwka_JournLabEco_2017_VDJV,A profile that continuously increases wages by small amounts raises performance ... relative to a constant wage. (p. 299.),My analysis suggests that a continuously increasing pay schedule yields approximately the same performance as a constant-pay schedule.,The Bayes factor corresponding to the continuously rising pay schedule supports the null hypothesis.,Yes,Fruzsi,NA
JPHZ3,Angrist_AmEcoRev_2009_Gv3O,The experiment used a school-based randomization design offering awards to all who passed their exams in treated schools. This led to a substantial increase in certification rates for girls... (p. 1384.),I conclude that the program has a large effect on average on certification rate.  Additional anlysis estimating the treatment effect separately by quintile of baseline test score show that the effect is entirely driven by high achievers.,"The analysis of this experiment using a linear regression with only pair fixed effect and adjusting standard errors for clustering at the pair level yields a positive average treatment effect with low precision. Based on the cluster-robust standard errors, I can reject negative effects larger than .05 pp and positive effects larger than .24 pp with 95% confidence. Without covariate adjustment, this experiment is underpowered and I cannot reject a null effect of the program on girls.",Yes,Fruzsi,NA
JX7YO,Christensen_EurJournPersonality_2018_8R9d,...  the high openness to experience group’s network was more interconnected ... than the low openness to experience group (p. 480.),Higher opennes to experience is assisiated with higher participation coefficient of individual networks,There is no gender difference in mean participation coefficient of individual semantic networks,Yes,Fruzsi,NA
JX7YO,Christensen_EurJournPersonality_2018_8R9d,...  the high openness to experience group’s network was more interconnected ... than the low openness to experience group (p. 480.),Higher opennes to experience is assisiated with higher participation coefficient of individual networks,The differences between two conditions does not achieve the significance,Yes,Fruzsi,NA
K0XHI,Platt_Boustan_AmEcoJourn_2012_PVQK,Desegregation of public schools in central cities ... [leads to] urban housing prices and rents to decline ...  relative to neighboring suburbs. (p. 85.),I fail to find evidence that desegregating central city public schools impacts house prices or rents.,I find no evidence that desegregating central city school district impacts house prices.,Yes,Fruzsi,NA
KDWY2,Caldero_n_JournConflictRes_2015_Nv99,... captures or killings of drug cartel leaders have exacerbating short-term effects ... on DTO-related violence ...(pp. 1455-1456.),"The two-way fixed effects estimations with the transformed outcome variable, the homicide rate, do not provide a clear indication of whether there is a statistically significant relationship between captures of DTO leaders and homicides. Although using the leader-capture sample produces fairly robust results, this analysis hinges on only 13 municipalities, which is a significant caveat. Furthermore, the main result of the paper cannot be replicated when using the SC weighted sample, which, in my view, is the more important result.  In my opinion, the paper would benefit from a more thorough sensitivity analysis. Perhaps using other models, control variables, matching procedures, and so on, would help to corroborate the results of the paper. However, it is concerning that even a simple change in the outcome variable leads to a failure to reproduce the authors' key results.","The two-way fixed effects estimations with the transformed outcome variable, i.e. the homicide rate, and the inclusion of the outlier render the relationship between captures of DTO leaders and homicides statistically insignificant.",Yes,Fruzsi,NA
KEVF1,Wright_JournConflictRes_2016_W0GN,territorial disputes involving a democratic pitted against an authoritarian state (mixed dyads) were more dangerous than others (p. 662.),Mixed dyads are more likely to go to war within 5 years after a territorial dispute.,Autocratic dyads are 9.2% more likely to go to war within 5 years over any kind of dispute than are democratic or mixed dyads.,Yes,Fruzsi,NA
LJFSQ,Thames_CompPolitStu_2010_l22v,systems with weak incentives for personal votes (party-centered systems) increase women’s representation in comparison with systems that feature strong incentives for personal votes (candidate-centered systems) (p. 1575),The level of women‚Äôs representation in the legislature was not greater in more party-centered systems.,The level of women’s representation in the legislature was not greater in more party-centered systems.,Yes,Fruzsi,NA
MUYV3,Anderson_AmEcoJourn_2011_bLe8,... [the study] finds substantially higher income for low-caste households residing in villages dominated by BACs [compared to villages dominated by upper caste]. (p. 240.),The claim is not supported by the data.,The claim is not supported by the data.,Yes,Fruzsi,NA
N8ZYW,Kuo_Demography_2016_JWzJ,cohabitors have increasingly become less likely to progress to marriage (p. 932),Cohabitors have increasingly become more likely to progress to marriage.,Cohabitors have increasingly become more likely to progress to marriage.,Yes,Fruzsi,NA
NSDML,PALER_AmPoliSciRev_2013_Pxp7,... tax treatment increased monitoring (p. 706.),The analysis concludes that the method applied in the analysed paper fits well with the result that the author wants to achieve,The analysis concludes that the method applied in the paper fits well with the result that the author wants to achieve,No,Fruzsi,NA
OWS4T,Dumas_AcaManageJourn_2018_5KrD,"... single, childless workers reported lower absorption than workers with other family structures. (p. 1231)",Family structure is not a significant predictor of work absorbtion.,Family structure is not a significant predictor of work absorption.,Yes,Fruzsi,NA
PFQSU,Miller_JournConflictRes_2011_zV1O,"As threats to political survival increase, the likelihood of conflict involvement increases. (p. 199.)","Hypothesis 1, ‚Äúas threats to political survival increase, the likelihood of conflict involvement increases (p. 199.),‚Äù was supported by the given data after correcting for the reciprocal causation problem using an endogenous model developed by Keshk (2003). The results of the original paper (Miller & Elg√ºn, 2011) were replicated.","The results supported H3, the null hypothesis.",Yes,Fruzsi,NA
Q1460,Huijts_EurSocioRev_2013_OY3B,"The disadvantage in psychological well-being of childless people is smaller in countries with tolerant norms towards childlessness
(p. 32)",The analyses do not support the hypothesis that childlessness norms would moderate the effect of childless on well-being,The analyses showed no moderating effects of childlessness norms on the effect of individual childlessness on psychological well-being.,Yes,Fruzsi,NA
Q5U26,Wang_AmEcoJourn_2013_7d4J,... the loss of the father-in-law translates into a decrease in a man’s earnings ... (p. 91.),There is no evidence that the loss of the father-in-law translates into a decrease in a man's earnings.,There is no evidence that the loss of the father-in-law translates into a decrease in a man's earnings.,Yes,Fruzsi,NA
RPG19,Cleave_ExpEco_2013_Njqj,… people who sent less in a trust game were more likely to participate in a laboratory experiment… (p. 373.),The results of the logistic regression model support the claim/hypothesis that people who sent less (more) in a trust game were more (less) likely to participate in a subsequent laboratory experiment.,The results indicate that there are no differences between individuals who participated in the lab experiment and those who did not in the share returned as second movers in the trust game.,Yes,Fruzsi,NA
RXPB8,Angrist_AmEcoRev_2009_Gv3O,The experiment used a school-based randomization design offering awards to all who passed their exams in treated schools. This led to a substantial increase in certification rates for girls... (p. 1384.),"Even though descriptives and regression coefficients indicate that girls do perform differently than boys, I find no evidence by which I can conclude that the treatment led to a substantial increase for girls.","Based on the interaction effect, there is probably no difference in the effectiveness of the treatment between boys and girls on their bagrut scores.",Yes,Fruzsi,NA
SBP30,Desmond_Demography_2015_qQ9Z,... renters who experienced a forced move relocate to poorer ... neighborhoods than those who move under less-demanding circumstances. (p. 751),"The relation was not significant (0.0042, p=0.84, SE=0.020). This means that a forced move is not associated with a significantly higher level of poverty of the new neighborhood.","A forced move is not significantely associated to a change in the poverty levels of the neigborhood, controlling for the poverty levels of the previous neighborhood,  Black Renter, Hispanic Renter, Other Ethnicity Renter Age, Less Than High School Education,High School/GED, Housing Assistance in Past Residence Single-Mother Household in Past Residence Criminal Record Before Move ,Had a Child in Previous 2 Years.",Yes,Fruzsi,NA
T89FM,Anderson_AmEcoJourn_2011_bLe8,... [the study] finds substantially higher income for low-caste households residing in villages dominated by BACs [compared to villages dominated by upper caste]. (p. 240.),Low-caste households residing in villages dominated by BACs do not have significantly higher income than the ones residing in villages dominated by upper caste.,I found that low-caste households residing in villages dominated by BACs do not have significantly higher income than the ones residing in villages dominated by upper caste.,Yes,Fruzsi,NA
U41QZ,Yoo_PsychologSci_2017_BebG,...positive affect was associated with healthier lipid profiles for Americans but not for Japanese (p. 1468),"The analysis did not reveal any meaningful relationship between positive affects and blood lipid levels. Although the strength of the relationship was stronger for the American than the Japanese sample, positive affect was not associated with healthier lipid profiles even in the American group.","After controlling for the occurrence of four health factors, the analysis did not reveal any conclusive relationship between positive affects and blood lipid levels, neither in the American population, not in the Japanese population.",Yes,Fruzsi,NA
VWV97,Desmond_Demography_2015_qQ9Z,... renters who experienced a forced move relocate to poorer ... neighborhoods than those who move under less-demanding circumstances. (p. 751),I did not find evidence to support the claim. There was no statistically significant effect of forced move on a residents current.,There was no statistically significant effect of being forced to move from the previous residence on the neighbourhood poverty rating of the current residence.,Yes,Fruzsi,NA
WGTFW,Menaldo_AmJourPoliSci_2016_Vx4e,"... after controlling for the profit potential implied by financial repression, as states grow weaker they increase the amount of credit directed to the government and SOEs. (p. 463.)","I would broadly conclude that this study replicates in a narrow sense, though perhaps its findings are fragile to alternative ways of setting up the problem. The author would ideally argue better for their chosen specification, and show robustness to methods other than System GMM.","The study failed to replicate. There is suggestive evidence of an effect, but the result depends on choice of model specification. The paper does a fairly weak job of explaining why its chosen set of models is the correct set to use -- and so it is fair game to try other models with similar assumptions.",Yes,Fruzsi,"probably yes, but I'm not entirely sure what they meant"
WLGL6,Woltin_JournExpSocPsych_2011_Wre,"...using ... social manipulations, we found that empathic concerns are enhanced in contexts associated with a more detailed processing style [versus abstract processing style]. (p. 418.)","Based on the Bayesian Independent Sample t-test results, I found anecdotal evidence for the alternative hypothesis (BF10=2.774). Note that the alternative hypothesis (H1) suggests that participants primed with low power words would report greater empathy. Specifically, there is 2.774 times more evidence for H1 than H0. The Bayes factor robustness test also suggests that this anecdotal evidence pattern is relatively stable across a wide range of prior distributions.","According to the Bayesian Independent Sample t-test results, there was anecdotal evidence for the alternative hypothesis (BF10=2.774). The alternative hypothesis was suggested that participants primed with low-power words would report greater empathy. However, there is only 2.774 times more evidence for H1 than H0, suggesting that this effect might not be robust. Based on the Bayes factor robustness test, the anecdotal evidence was relatively stable across prior distributions as well.",Yes,Fruzsi,NA
X99OP,Zunick_JournExpSocPsych_2017_zlw,"For these participants [low in trait self-control], the more positive their weighting bias, the more likely they were to act on their impulse to give up when frustrated. (p. 34.)","As the underlying regression model is not significant (p = 0.7), thus I consider the interaction (and its slope) as non-significant.","The full regression model is non-significant (p = 0.602) and thus the claim cannot be reliably tested, we need to assume it is not true.",Yes,Fruzsi,NA
XFPK9,TERTYTCHNAYA_AmPoliSciRev_2018_9wya,increases in remittances led to an increase in trust in the president (p. 770.),"To a first approximation, an increase in remittances --- whether measured by amount, frequency, or an index --- has no effect on presidential approval. There are glimmers of evidence, in particular the positive coefficients in sections 5 and 6, which lead me to expect that a large increase in remittances may lead to a small increase in presidential approval. A more fine-grained outcome measure and larger *n* may be able to pass the arbitrary threshold of $p < 0.05$ under some specifications. Compared to the original analysis, the estimates in this re-analysis are not hugely dissimilar (with the exception of 'amount'), but are accompanied by larger standard errors. This is likely due to the absence of individual random effects which are present in the original. Yet even if greater precision yielded statistical significance, the bigger picture is that --- even in a country receiving more than 30% of its GDP in remittance flows --- an increase in remittances has essentially no effect on presidential approval.  What about the article's larger claim that changes in remittance flows (both positive and negative) affect incumbent approval? This is beyond the scope of the task assigned to me by the Multi100 project, but clearly of interest. The evidence for this claim is slightly stronger, although still not definitive. Given strong theoretical priors regarding economic voting and the evidence presented, the claim is likely true. However, the magnitude of the effect, estimated for a population which is one of the world's top recipients of remittances by GDP, is not particularly large: taking the estimate of $\widehat{\beta}=.07$ from model (2) of the published article, a one standard-deviation increase in frequency of receiving remittances ($0.07 *1.54 = 0.1078$) would predict less than one-tenth of a standard deviation increase in presidential approval ($\frac{.1078}{1.1759} \approx 0.09$). Expressed in standard deviations of the *level* of presidential trust rather than changes, a one standard-deviation increase in frequency of receiving remittances still predicts less than one-eighth of a standard deviation increase in presidential trust ($\frac{.1078}{0.9480} \approx 0.11$). Such effect sizes would be very large for a campaign ad, but seem small for such a significant economic event. In comparison, Margalit (2011) estimates that US President George W. Bush lost one vote for every 3-7 jobs eliminated by international competition during his first term (p. 178). Studying the effect of an exchange-rate shock in Poland, Ahlquist, Copelovitch, and Walter (2020) find that --- for voters who had supported one of the incumbent parties in the previous election --- exposure to this shock increased the absolute probability of voting for the challenger by from $0.1$ to $0.4$, an astonishing 300% increase (p. 916). Perhaps information about past voting behavior in the Kyrgyzstan sample would assist in discovering similarly concentrated heterogeneous effects.","In this sample, the average effect of an increase in remittances (whether a 10,000 Som increase, the logged increase, or a ten percent increase in household income) on presidential trust is approximately zero.",Yes,Fruzsi,NA
