task2_timestamp,analyst_id,paper_id,task2_software,task2_analysis_report,type_of_statistic,statistic_report,model_sample_size,model_degrees_of_freedom,p_value_or_bayes,p_value_report,task2_conclusion,direction_of_result,same_statistical_result_as_task1,additional_calculations,total_hours,task2_submission_number
2022-04-08T17:14:26Z,LYCQM,Pastötter_Cognition_2013_EQxa,R,same as in Task 1,t-statistic,-3.551,200,198,p-value,0.00048,same as in Task 1,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",1,11
2022-04-08T22:19:51Z,KZGB8,Ku_JournEnvPsych_2014_YpZZ,SPSS,"I reverse-coded the variable “not_my_money” of WTP. Next I computed the reliability of the intrinsic values subscale (i.e., all items referring to the values of affiliation, community, and self-growth), of the extrinsic values subscale (i.e., of all items referring to the values of money, image, and recognition), and of the three items of WTP.
The three scales had sufficient levels of reliability (intrinsic values, alpha = .777; extrinsic values, alpha = .862; WTP, alpha = .711).
Next I computed the scores on
-        Extrinsic values
-        Intrinsic values
-        Wtp
as the average of the items of each scale or subscale.
The index of higher endorsement of intrinsic relative to extrinsic values was computed as ratio between the extrinsic and intrinsic value scores
I tested the claim with Pearson correlation. A significant positive correlation between WTP and the extrinsic/intrinsic value ratio, r = .405, p < .001, supported the claim. 
The reason why I chose the Pearson correlation is that the claim made a clear reference to a positive association between the two constructs, both measured ad interval level, and a linear relation (i.e., Pearson's correlation) is appropriate for such research question.
I needed to take no additional steps to satisfy the instructions of Task 2, as the r correlation is a test of one of the families indicated in the instructions.",z-statistic,.405,155,153,p-value,.00000017223,A significant positive linear relation emerged between WTP and the extrinsic/intrinsic value ratio.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",1,12
2022-04-09T09:06:30Z,0EING,Pastötter_Cognition_2013_EQxa,R,"Most of the robustness analyses I ran fulfill the requirements for the second task as far as I can tell. As an example, I used a one sided proportion test without continuity correction to test whether the proportion of ""yes""-sayers was significantly larger in the positive mood group vs. the negative mood group. It yielded the following results: difference in proportion = 0.19 (95% CI: 0.1024202 1.0000000) Chi squared(df=1) = 11.971, p-value = 0.0002701. I did not need to run further analyses for task 2 since the analyses I did in Task 1 were sufficient as far as I can tell.",Chi²-statistic,11.971,200,1,p-value,0.0002701,"Utilitarian responding was more likely in positive moods than in negative moods in the active-frame condition. That is, the proportion of yes-sayers was larger.",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",7,13
2022-04-10T12:31:00Z,13H14,Dumas_AcaManageJourn_2018_5KrD,R,This is exactly as in Task 1.,t-statistic,-2.196,353,348,p-value,0.02874,The null hypothesis of no effect could not be rejected.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",3,14
2022-04-10T22:28:53Z,2KUPE,Angrist_AmEcoRev_2009_Gv3O,R,"I used the lme4 package in R to fit a linear mixed effects model accounting for clustering by school to the panel a ""post-treatment year"" data. I used the entire dataset. I entered treatment, gender, and the interaction between the two into the model as fixed effects. The dummy-coded gender variable was set to 0 for women and 1 for men. Thus the main effect of treatment represented the main effect for women. This main effect was significant [b = 0.134, t(37.97) = 2.099, p = 0.04].",t-statistic,2.099,3821,37.968,p-value,0.0425,"There was a positive effect of the treatment on Bagrut status, increasing achievement by 13% for women.",Same as claimed by the original study,Yes,Yes,4,15
2022-04-11T10:07:20Z,QYU74,Steinmetz_JournPerSocPsy_2016_E4Am,R,"First, the available database, the relevant variables to be used and the characteristics of these variables were explored. Three potential measures of the dependent variable in the relationship assessed were identified. ‘Q27.0’ which contains the answer of the participants to the question “How big was the food portion?”; ‘Q29’ which contains the answer of the participants to the question “How many calories did that food have?”; and ‘Q31’ which contains the answer of the participants to the question “How much did that food contribute to your calories intake today?”. All measured on a 9-point scale. All of them were considered as possible measures of the dependent variable ‘quantity of food’ (in size, calories or caloric contribution). The variable measuring perceived food size was selected as a main measure of the dependent variable. The variable ‘condition’ was taken as the independent variable, as it codes which participant went through each condition (Camera vs. No camera).

Some of the participants did not finish the entire portion of food. The variable 'Q30' shows the amount of leftovers for each participant. This situation was explored, finding that 12 participants had some leftovers. Among these participants the average amount of leftovers (in grams) was 14, which is 50% of the total portion (28 g.). This situation could have an impact on the perception of the amount of food eaten. Therefore, participants with leftovers were excluded. 

As the form of measurements of the dependent variables has some ordinal features (9-point scale) --albeit assuming a continuous underlying variable-- and a visual inspection of the density plots shows possible departures from normality, a two-sided, non-parametric, rank-based, Wilcoxon rank sum test for independent samples was carried out to test the hypothesis that subjects in the two conditions (Camera vs. No camera) had the same population distribution for the dependent variable. The mid-rank method was used to deal with ties and the exact reference null distribution was computed using the shift algorithm to carry out the statistical testing following a permutation approach. 

All the analyses and data wrangling were carried out using R (Version 4.1.2, R Core Team, 2021), RStudio (Version 2022.02.0, RStudio Team, 2022) and the R packages haven (Version 2.4.3, Wickham & Miller, 2021), tidyverse (Version 1.3.1, Wickham et al., 2019), and coin (Version 1.4.2, Hothorn et al., 2008). 

Wilcoxon rank sum test: z = 1.650; p = .100

To satisfy the instructions of Task 2, the most suitable path was selected from all those tested in Task 1, because the results of these different paths tested, taken in isolation, satisfy the instructions. In any case, a specific script was developed for this Task 2 covering only the choices that would be considered for that path. 

Basically, these different paths differed in three main features: statistical approach, exclusion or non-exclusion of participants with leftovers and measurement of the dependent variable. A non-parametric approach was selected because of data features and measurement approach, participants with leftovers were excluded because of the relevance of the amount of food eaten to the judgement of their size, and that specific measure of the dependent variable was selected because it was considered to be the main measure by the original authors.",Standardized observed statistic value under the computed null distribution,1.650,70,NA,p-value,0.100,"The data do not provide sufficient evidence to support the claim assessed. Although it cannot be stated that there is no effect of the observation on the perception of food size, it was concluded that the evidence was not sufficient to support the existence of an effect.",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",12,16
2022-04-11T10:21:52Z,E0676,Steinmetz_JournPerSocPsy_2016_E4Am,R,"(Identical to Task 1): I renamed the relevant variables in the original SPSS file and then exported the SPSS file to a csv file. I opened the file in R (RStudio version 4.1.0). No further data preprocessing was necessary. I looked at the descriptive statistics of my DVs (M, SD) and checked the preconditions (outliers, normality, homogeniety). Then, I ran a t-Test.",t-statistic,"t(80)= 2.204, p = .030, d = 0.487",82,80,p-value,p = .030,Participants in the camera condition reported eating a larger proportion than participants in the no camera condition.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",2,17
2022-04-11T15:51:28Z,3IYFJ,Pastötter_Cognition_2013_EQxa,R,"To test whether utilitarian responding was more likely in positive moods than in negative moods in the active-frame condition, we used a one-tailed two-proportions z-test (similar to a chi-square test). Concurrent with the hypothesis, making the decision to push  was more likely in the positive mood condition (28%) than in the negative mood condition (9%) in the active-frame condition; X2(1, n=200) = 11.971, p < .001, 95%CI: .10-1.00.",Chi²-statistic,11.971,200,1,p-value,0.0002701,"Concurrent with the hypothesis, when asked whether they would be active and push the man in the footbridge scenario, participants were more likely to make a utilitarian decision to push after a positive mood induction than after a negative mood induction.",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",8,18
2022-04-11T15:51:51Z,ELZ90,Linkenauger_PsychologSci_2009_7WjP,R,"I compared perceived/actual ratios between arms in right-handers. This independent variable was selected instead of perceived lengths to account for possible geniune difference in the arm lengths. A paired sample one-tailed t-test showed that the participants with dominant right hands perceived their right arms to be longer than their left arms (mean+-sd, right arm: 0.970+-0.138, left arm: 0.920+-0.129; t(14) = 2.12, p = 0.026, dz = 0.57).",t-statistic,2.123,15,14,p-value,0.026,the hypothesis is supported by the data,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",2,19
2022-04-12T00:30:49Z,FWSCE,Linkenauger_PsychologSci_2009_7WjP,R,"Data were analyzed using the R statistical language with the ‘tidyverse’, ‘psych’, and ‘haven’ packages. First, data were converted into long form (one row per observation) in order to facilitate analysis. First, a repeated measures ANOVA was conducted to compare arm length ratios between left and right handed participatns. There was no significant main effect of arm F(1,28) = 1.3708, p = 0.25155, but there was a significant interaction between arm and handedness F(1,28) = 4.7414, p = 0.03803, partial_eta_squared = 0.14.",F-statistic,4.741,29,28,p-value,.038,"There is a significant interaction between handedness and estimation of the length of arm, indicating that the handedness of an individual may have an influence on how they estimate the length of their arms.",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",2,20
2022-04-12T17:59:00Z,9ZUZK,Steinmetz_JournPerSocPsy_2016_E4Am,R,"ANALYSIS STRATEGY

This study tests the claim that individuals who are observed while eating recall eating larger portions than unobserved participants.

However, instead of directly manipulating the predictor variable (observing vs. not observing), the authors use a proxy in the form of a camera (presence vs. absence of camera). The experimental manipulation relies on the assumption that the presence of a camera has similar effects to directly observing them. 

Interpreting the effects of the manipulation as the effect of “being observed” is, therefore, conditional on the fact that the presence vs. absence of a camera is indeed similar to being “observing” vs. “not observing”. The manipulation is a success if participants feel observed in the presence of a camera, and don’t feel observed in the absence of a camera.

The authors did in fact measure how “observed” the participants felt. This measure can be used to compute a measure of manipulation success. 

Participants in the “observed” condition are expected to have high degrees of “feeling observed”. Therefore, the score of “feeling observed” is identical to the new “manipulation success” measure (i.e., the manipulation fails when participants in the “observed” condition have levels of “feeling observed” close to zero).

Participants in the “unobserved” condition are expected to have low degrees of feeling observed. Therefore, the score of “feeling observed” is inverted in this group to compute the “manipulation success” measure (i.e., the manipulation fails when participants in the “unobserved” condition have levels of “feeling observed” close to nine). 

The hypothesis that being observed increases the estimation of food eaten compared to not being observed can then be tested by conducting a regression analysis with the interaction effect of the condition and the manipulation success on the estimation of food eaten, and then investigating the simple effect of the condition at the highest manipulation success level. The overall interaction is of no importance, the hypothesis only relates to the effect of the condition (i.e., camera vs. no camera) at the maximum level of manipulation success. 

To do so, first a linear model is computed with the main DV (i.e., the estimation of the portion of food eaten) as the outcome. The predictors are the condition (i.e., camera vs. no camera) and manipulation success. Using the emmeans package (Lenth et al., 2022) we then look at the simple effect of condition, when the manipulation is at its highest level (i.e., 9).

RESULT

At the highest level of manipulation success, the effect of the condition is significant, t(78) = -2.528, p = 0.0135, d = 0.558.",t-statistic,-2.528,82,78,p-value,0.0135,The result is conclusive and there is an effect of being observed (vs. unobserved) on the estimation of the portion of food eaten.,Same as claimed by the original study,No,Yes,4,21
2022-04-13T03:54:33Z,TS468,Axt_JournExpSocPsych_2018_zK2,R,"Using the raw BIAT data, I selected cases from participants who completed the good focal multi-category BIAT (MCBIAT). Then, I calculated D-scores following recommendations for scoring by Nosek et al. (2014). They recommend scoring consecutive blocks and averaging them. Because group pairs appeared in consecutive blocks, I computed D-scores for the three group pairs that included black people and then calculated their mean to create an Anti-black composite D-score.

Before analyses, I excluded participants who were not residents or citizens of the United States, where Black people are considered non-dominant group members. Participants who had MCBIAT data with too many fast trials were also excluded as recommended (Nosek et al., 2014). The analytic data set was finally limited to participants who identified as Black and did not identify as Hispanic.

To test the claim that members of non-dominant racial groups, specifically black people, show ingroup favoritism on indirect measures focusing on positive valence, I conducted a one sample t-test comparing the black composite MCBIAT score to 0. Negative scores different than 0 would indicate a pro-black bias on this measure.

Black People who completed the good focal multi-category brief IAT demonstrated ingroup bias (M = -0.23, SD = 0.34), t(841) = -19.36, p < .001, d = -0.67).",t-statistic,-19.360,842,841,p-value,0,"Black People who completed the good focal multi-category brief IAT demonstrated ingroup bias in favor of black people over other group members, thus supporting the claim.",Same as claimed by the original study,No,Yes,6,22
2022-05-19T13:15:11Z,WZ1VC,Bruner_ExpEco_2017_amYY,Stata,"The analysis was performed as described in Task 1 (see response to questionnaire after task 1). The only additional step was to select one, single result, as conclusions for task 1 were drawn from the joint evidence of several regression models.

In the analysis for task 1, I used OLS regressions to examine the main result:
- Statistical significance of coefficients is determined by their t-value (condition of task 2 met)
- The claim was evaluated based on the joint evidence of several regression specifications (condition of task 2 ""single main result"" not met) 
Thus I now select one regression specification as the most appropriate to test the main claim of the paper.

Regressions in task 1 used three different risk aversion measures derived from two multiple price lists. I will use the risk aversion measure ""safe_choices"" which is the sum of safe choices in the PV MPL and RV MPL. Reasoning: This risk aversion measure aggregates risk aversion across MPLs and should thus provide a robust measure of risk aversion. Using only one of the MPLs would be somewhat arbitrary and hard to defend.

Regressions in task 1 used three different regression specifications. I will use ""full"" regression specification with treatment indicators and controls. This mitigates concerns that treatment indicators or control variables influence the main results.

The selected regression as a single, main test of the main claim in the paper is an OLS regression with robust standard errors and decision errors as the dependent variable. Decision errors are defined as the number of dominated choices on the LV multiple price list. The independent variable of interest is ""safe_choices"", which sums up the number of safe choices by participants on the RV and PV MPLs. The regression further includes treatment indicators (six treatments which only vary the order of MPLs) and 7 control variables. Control variables are participants' age and gender, indicators whether they work, whether they have studied for more than a year, and whether they have prior experience with experiments. Further controls are the self-rated understanding of the instructions and self-rated importance of earning money from the experiment. Control variables were selected based on availability, potential relation to decision errors and risk aversion, and the possibility to construct a numerical variable for inclusion in the regression.

Single, main result:
Coefficient for safe choices: -.3834327 (one additional safe choice across both MPLs results in about 0.4 fewer decision errors)
T-value for coefficient: 4.45
P-value for coefficient: .00003358 (p<.005 which was used as criterion for statistical significance)

The strength of the result gives little reason to worry about standard errors. In task 1, I ruled out clustered standard errors as treatments are assigned on an individual level (this is rather accurate even though not all 6 treatments were used in all sessions) and clusters are relatively small. Sometimes bootstrapped SEs are advocated in small samples, although they are not necessarily designed for that purpose. For task 2, I re-estimate the above described regression result with bootstrapped standard errors and find z-values>4. This is confirmatory evidence for the main specification.",t-statistic,4.447,81,67,p-value,0.0000336,"The single, main result in terms of statistical families of z-, t-, F-, or χ² tests rejects the null of no effect of risk aversion on decision errors at t=4.45 (p<0.005).",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",15,23
2022-05-25T15:53:18Z,BLG5S,PALER_AmPoliSciRev_2013_Pxp7,Jamovi,"I used the measure of willingness to monitor the budget coded as 0-1, as this was the coding used in the focal paper

I conducted binomial logistic regression with tax treatment as the independent variable (coded as 0 = windfall treatment, 1 = tax treatment). All analyses were conducted in JAMOVI module: regression → logistic regression → 1 outcome (binomial). I calculated three different R2 measures (McFadden's, Cox & Snell’s, and Nagelkerke’s). I estimated the log odds ratio for the treatment effect with 95% confidence intervals and their standard errors and the odds ratio for the treatment effect with 95% confidence interval (available in the “model coefficient” options, together with Z statistics and p-value (default output of this analysis). 
I also estimated marginal means (probabilities) in each treatment with their standard errors and 95% confidence intervals (available in the “estimated marginal means” options).


The analysis showed a significant effect of tax treatment, Z = 2.691, p = .007, but the effect size was extremely small (R2 indicated that less then 0.4% of the variance explained), so significance was probably due to large sample size",z-statistic,2.691,1863,NA,p-value,.007,"The analysis showed a significant effect of tax treatment, but the effect size was extremely small (R2 indicated that less then 0.4% of the variance explained), so significance was probably due to large sample size. In sum, I would conclude that the data and analysis I conducted provide only weak support for the claim that tax treatment increased monitoring the budget",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",1,24
2022-05-25T15:55:13Z,WW7AB,McDevitt_JournPoliEco_2014_yQeR,Stata,"The paper claims that plumbers who start with the letter A receive more complaints than others. To satisfy the instructions of task 2, I looked at the full sample and did not undertake any pre-processing steps. I described the data and checked the distribution of the number of claims. Given its skewed distribution, I decided to model it as a count variable and use a negative binomial regression and use the dummy variable indicating whether the firm starts with the letter A as only predictor variable. Its z-statistic allows me to support the claim: I find a significant effect with z=6.61.",z-statistic,6.612,2293,1,p-value,0.000,The average plumbing firm whose name begins with A receives more service complaints than other firms.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",2,25
2022-05-25T15:59:31Z,9X596,Bartels_JournConsRes_2015_mrZ,SPSS,"It was evident from the data file that the authors standardized these measures before averaging them, and it was clear why from Appendix A: “rate1” was on a 0-100 scale, and “length” was marked on a line that the authors measured. Thus, I standardized these variables before averaging them into the “connectedness” predictor.  

Because I planned to do a logistic regression to test the interaction effect, I also planned to do a Box-Tedwell Test to test the assumption of a linear relationship between the continuous predictor and the logit transformation of the dependent variable. Trying to do a logit transformation of a variable whose values are near zero does not work. Thus, I checked the frequencies of the standardized variables, found that adding 3 to each variable would bring all scores above zero, and added 3 to each variable.

Then I ran a logistic regression with effect-coded opportunity cost, mean_connection, LN_mean_connection, and the interaction of the latter two variables as the predictors of notbuy. The result of interest was for the Box-Tidwell Test, which was nonsignificant. This finding supported the assumption of a linear relationship between the continuous predictor and the logit transformation of the dependent variable. 

Next I standardized the connection variable to prevent multicollinearity in the logistic multiple regression containing the interaction between mean connection and effect-coded opportunity cost.

Finally, I ran a logistic regression with effect-coded opportunity cost, z-scored mean_connection, and the interaction of the latter two variables as the predictors of notbuy. This analysis showed that the logistic regression model was statistically significant, Chi-Square(3) = 11.31, p = .010. The model explained 16.4% (Nagelkerke R2) of the variance in choices not to buy the DVD and correctly classified 68.2% of cases. There was a significant Connection X Opportunity Cost interaction, Wald(1) = 4.41, p = .036. Neither of the main effects reached significance.",Wald test,4.413,88,1,p-value,.036,The original hypothesis was supported: providing an opportunity-cost cue reduced spending significantly more for participants who felt more connected to their future self compared to providing no opportunity-cost cue.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",5,26
