task1_timestamp,analyst_id,paper_id,current_position,current_position_grouped,education_level,analyst_discipline,primary_discipline,keywords,years_of_experience,analysis_frequency,expertise_self_rating,familiar_with_paper,communication_check,task1_software,task1_analysis_report,task1_conclusion,task1_categorisation,confidence_in_approach,data_suitability,task1_submission_number,task1_categorisation_plotting
2022.05.12. 11:26:54,J3ODA,Nyhan_JournExpPoliSci_2015_DEqr,Post-Doc Researcher,Post-Doc Researcher,Doctoral degree or equivalent,Communication,Other,"Political Communication, Health Communication, Quant methods",21,2-3 times a week,8,No,No,"R, Text Editor to read the STATA code in the replication materials","# Statistical analysis to test the claim ####
# ""... an alternate causal explanation for why the politician resigned is ... more effective in limiting acceptance of misperceptions [than providing evidence against the innuendo] ... (p. 83.)""
# Based on Nyhan and Reifler (2015, NR2015 hereafter) and materials provided by the multi100 project

# Selection of primary outcome variable in the claim ####
# NR2015 reported three outcomes
# 1) Opinion of Swensen on a six-point scale from “very unfavorable (1) to “very favorable” (6)
# 2) Likelihood that he “accepted bribes or engaged in other illegal practices” on a five-point scale from “not at all likely” (1) to “extremely likely” (5).
# 3) Likelihood that he “is resigning from office because he is under investigation for bribery” on a four-point scale from “not likely at all” (1) to “very likely” (4). (not in control condition)
# Outcome 2 is the most suitable measure of the construct in the claim ""acceptance of misperceptions"", which was the innuendo of bribery charges. Outcome 1 measures consequences of the misperception. Outcome 3 is also a direct measure of the construct, but not measured in the control condition, limiting the potential comparisons.
# My test of the claim will rely on Outcome 2. The variable in the data set is ""acceptedbribes""

# Selection of the quantities of interest ####
# I break down the claim into two comparisons.
# 1) The causal correction limits the acceptance of misinformation, which was caused by the innuendo. This statement calls for a comparison of the outcome in the causal correction condition and in the innuendo condition. If true, M_causal < M_innuendo, where M is the group mean of the outcome variable and the subscript denotes the experimental condition.
# 2) The causal correction is more effective than providing evidence against the innuendo. Evidence against the innuendo is provided in the denial condition. This statement calls for a comparison of the outcome in the causal correction condition and the denial condition. If true, M_causal < M_denial, where M is the group mean of the outcome variable and the subscript denotes the experimental condition. 
# The precondition for testing the claim is that the innuendo has indeed caused a misperception in the first place. This can be tested by a comparison of the control condition and the innuendo condition. If true, M_control < M_innuendo, where M is the group mean of the outcome variable and the subscript denotes the experimental condition.

# Contrasts for the condition factor ####
# The contrasts are set up so that the three regression coefficients directly estimate the three comparisons described in the previous section.

# Statistical test ####
# I use OLS estimation of the contrasts. 
# Comparison 1: M_causal < M_innuendo; H_0 is M_causal >= M_innuendo, which is rejected if the estimate of the contrast Innuendo v Causal is negative and statistically significant at alpha = .05 in a one-tailed test.
# Comparison 1: M_causal < M_denial; H_0 is M_causal >= M_denial, which is rejected if the estimate of the contrast Denial v Causal is negative and statistically significant at alpha = .05 in a one-tailed test.
# Precondition: M_control < M_innuendo; H_0 is M_control >= M_innuendo, which is rejected if the estimate of the contrast Innuendo v Control is negative and statistically significant at alpha = .05 in a one-tailed test.

# Estimation ####
# Given the information of the design provided in NR2015, I estimate a OLS model with heteroskedasticity-consistent standard errors (HC3) and inverse probability weights to account for the block randomization. I use the weights provided in the replication data set variable ""aw"". This turns out to be almost identical to Model 3 in Table 2 of NR2015, except for the heteroskedasticity-consistent standard errors.

# Results ####
Denial v Causal: -0.48, SE = 0.10, p < 0.001
Innuendo v Causal: -0.72, SE = 0.09, p < 0.001
Innuendo v Control: -0.78, SE = 0.09, p < 0.001
# Both estimated comparisons and the estimate referring to the precondition are negative and statistically significantly different from 0. The results support the claim stated above.",Both estimated comparisons and the estimate referring to the precondition are negative and statistically significantly different from 0. The results support the claim stated above.,The results show evidence for the relationship/effect as described in the claim provided in your task,5,5,89,Same conclusion
2022.05.12. 11:42:20,ZZY2R,Adida_CompPolitStu_2016_G0Kb,Post-Doc Researcher,Post-Doc Researcher,Doctoral degree or equivalent,"Business Studies, Psychology",Business Studies,"social status, psychometrics, evolutionary psychology",4,Once a week,7,No,No,R,"A total of 1104 participants completed the questionnaire distributed in Benin in 2012. For the main analysis, I filtered the data in the following way. First, I excluded 637 participants who were assigned a different experimental condition than the three of interest: (a) ""control,"" in which participants were not given a reference to President Yayi's wife (n = 140); (b) ""wife,"" in which the text participants read mentioned that President Yayi had a wife (n = 132); and (c) ""Fon wife,"" in which the text mentioned that President Yayi had a Fon wife (n = 141). I then excluded an additional 54 participants who identified as Yoruba, President Yayi's ethnic group (this subsample was also excluded from the analysis in the main article). The resulting sample included a total of 413 participants (mean age = 32.5, SD = 10.2, 47.7% female, 152 Fon [President's wife coethnic group], 261 non-coethnic).

This analysis was conducted to verify the following claim in the abstract of the original paper: ""Our results confirm that priming the First Lady's ethnicity increases support for President Yayi among her coethnics."" To test this claim, I fitted a logistic regression model with the willingness to vote for President Yayi in elections (0 = no; 1 = yes) as the dependent variable, the experimental condition (control, wife, Fon wife) as the first predictor, and participants' coethnicity (coethnic [FON], non-coethnic ) as the second predictor. Considering that the claim refers to the interaction between the experimental condition (referred to as prime in the original paper) and participants' coethnicity (or lack thereof), I added the interaction terms between the two predictors.

The results of this model show no significant interaction between the experimental condition - disclosure of information about the President's wife (without reference to her ethnicity) - and the coethnicity of the participants, b = -0.20, SE = 0.64, z = -0.31 p = .758. However, there was a significant interaction between disclosure of information about the President's Fon wife and participant coethnicity, b = -1.58, SE = 0.55, z = -2.88, p = .004. Because of the presence of a significant interaction, I do not report the main effects. Visual inspection of the nature of the interaction shows trends in the same direction as in the original paper. Post-hoc analysis (b coefficients are given on a log odds ratio scale) with a Tukey p-value correction for multiple comparisons indeed revealed that the probability of voting for President Yayi was higher among Fon coethnics when participants were informed that his wife was Fon than when they were informed only that he had a wife, b = 1.42, SE = 0.53, z = 2.69, p = .020. Similarly, comparing the control condition, in which participants were not informed at all about the President's wife, to the experimental condition, in which they were informed that he had a Fon wife, increased the likelihood of voting among Fon coethnics, b = 1.04, SE = 0.43, z = 2.39, p =.045. There was no effect of the experimental condition among non-coethnics, with all ps > .196.

Overall, the following claim ""Our results confirm that priming the first lady's ethnicity increases support for President Yayi among her coethnics"" was supported.","Showing participants a brief reference to President Yani's Fon wife increases the likelihood that they will vote for the President, compared to showing them information that the President has a wife or showing them no information about his marital status.",The results show evidence for the relationship/effect as described in the claim provided in your task,5,3,90,Same conclusion
2022.05.12. 12:07:48,UZKTS,Zunick_JournExpSocPsych_2017_zlw,Assistant Professor,Assistant Professor,Doctoral degree or equivalent,Psychology,Psychology,"goal-directed behaviour, decision-making, learning",12,Once every two weeks,7,No,No,R,"All data processing steps and statistical analyses were performed in R v4.0.5. First, trial-level BeanFest data, consisting of 6 practice trials, 108 learning phase trials, and 100 test phase trials, from 74 participants were loaded. Practice phase trials were removed and all remaining trials were labelled as “seen” (i.e., beans presented in the learning phase) or “unseen” (i.e., beans that were not presented in the learning phase).  Trials on which the participant provided no response were removed from the analysis (319 trials in total). The remaining data were used to generate subject-level outcome measures. These included: 
1)	The proportion of learning phase trials on which participants correctly approached a bean associated with a gain (10 points) or correctly avoided a bean associated with a loss (-10) (“learning phase accuracy” – based on ~108 trials per subject)
2)	The proportion of test phase trials on which participants correctly labelled a previously-seen bean associated with a gain as “helpful” or correctly labelled a previously-seen bean associated with a loss as “harmful” (“test phase correct recognition” – based on ~36 trials per subject)
3)	The proportion of test phase trials on which participants approached (versus avoided) a bean they had not encountered before (“test phase approach/avoid tendency” – based on ~64 trials per subject)
4)	Outcome measure 2, but split by valence (i.e., proportion of trials on which previously-seen helpful beans were labelled as helpful; proportion of trials on which previously-seen harmful beans were labelled as harmful. Based on ~18 trials per subject)

Participants that performed significantly below chance on either learning phase accuracy (binomial probability <0.05, corresponding to 49/108 correct learning phase trials) or test phase correct recognition (binomial probability <0.05, corresponding to 13/36 correct test phase recognition trials) were excluded from analysis (n=4). Next, the approach/avoid tendency for previously-unseen beans (measure 3; ranging from 1=all approach to 0=all avoid) was mean-centered (1=all approach, -1=all avoid) and adjusted for participants’ ability to learn from positive and negative feedback. To these aims, the difference between correctly labelling previously-been beans as helpful and harmful (i.e., difference score based on outcome measure 4) was subtracted from the mean-centered approach/avoid tendency. This procedure yielded an outcome measure representing an approach/avoid tendency towards new beans that was adjusted for how well participants learned about helpful and harmful beans. This measure served as the only measure of valence weighting bias that was used in further analyses.

Next, unsolvable anagram data from 74 participants were loaded. Three main outcome measure were derived:
1)	The amount of solvable anagrams that were passed up
2)	The amount of unsolvable anagrams that were passed up
3)	The sum of measure 1 and 2, i.e., the total amount of anagrams that were passed up
Participants that passed up all 24 anagrams were excluded from further analysis (n=1). Because there was no a priori expectation about which of these three measures was more closely associated with impulse control, all three measurements were used in further analyses.

Third, a summed score of trait self-control was created based on the 13 BSCS items (9 items were reverse-coded), with higher scores reflecting higher trait self-control. This measure served as the only measure of trait-like self-control.

After excluding participants based on the above-mentioned criteria (n=5 in total), a sample of 69 participants remained.

The quote from the manuscript suggests a statistical interaction. That is, the association between valence weighting bias and impulse control is dependent on self-control, where greater valence weighting bias (i.e., unseen bean approach bias) is associated with poorer impulse control (more anagram passing) in people with low self-control (BSCS score). In the first statistical analysis, I tested this interaction.

Given the nature of all measures (continuous) I relied on a general linear model in which approach bias, BSCS sum scores, and their interaction predicted anagram passing. In three GLMs (passing on all anagram trials; unsolvable trials, solvable trials) the crucial interaction term was not significant (p<0.05), except for the model predicting unsolvable passes. However, in this model the CI of the interaction term was extremely close to 0 (CI: -0.75 - -0.008) and this result would not have passed even the most liberal correction for multiple comparisons.

The second statistical approach was motivated by an extremely straightforward interpretation of the manuscript quote. Namely, that an association exists between valence weighting and impulse control in people with low self-control. Because the quote does not include any explicit reference to individuals with high self-control, I focused on a subsample of participants that (arbitrarily) scored low on self-control based on median BSCS score. In this subsample (35 participants with below-median BSCS sum scores), I investigated whether approach bias significantly correlated with anagram passing (all trials; unsolvable trials; solvable trials). However, no evidence for this notion was observed.

Statistical results

A GLM testing bean approach bias x BSCS sum score in the model of total anagram passes: B = -0.36, 95% CI = [-1.13 - 0.41], t(65)=-0.93, p=0.36

A GLM testing bean approach bias x BSCS sum score in the model of unsolvable anagram passes: B=-0.38, 95% CI = [-0.75 - -0.008], t(65)=-2.04, p=0.05

A GLM testing bean approach bias x BSCS sum score in the model of solvable anagram passes: B=0.02, 95% CI = [-0.43 – 0.47], t(65)=0.09, p=0.93

(Spearman’s) correlation for bean approach bias and total anagram passes in individuals with below-median BSCS sum scores: ρ(33)=0.25, p=0.15

(Spearman’s) correlation between bean approach bias and unsolvable anagram passes in individuals with below-median BSCS sum scores: ρ(33)=0.28, p=0.09

(Spearman’s) correlation between bean approach bias and solvable anagram passes in individuals with below-median BSCS sum scores: ρ(33)=0.19, p=0.28",The association between valence weighting bias and impulse control is not dependent on trait self-control.,The results do not show evidence for or against the relationship/effect as described in the claim provided in your task,4,1,92,No effect/inconclusive
2022.05.12. 14:26:11,A3X6D,Balcells_JournConflictRes_2014_0P4r,Assistant Professor,Assistant Professor,Doctoral degree or equivalent,"Economics, Psychology",Economics,"Spite, Power Abuse, Discrimination",8,Daily,8,No,No,R,"I used the orginal data provided and conducted a survival analysis using multiple specifications. The results show rather clearly that irregular conflicts last longer than all other types of conflicts.
###############################
# In summary: using the code from the website and the stata code I cannot run the regressions as variables as missing or the data is missing
# using the data from the journal and after some adjustments we get similar results
# however, I cannot replicate the exact mean, nor the exact the regression or the exact graph
# however, all the results prevail using my approach
# using the data from the website (TRduration) yields also similar results (but again not identical)
# it is also unclear how the others have 1206 observations
# I was not able to run the regressions with PRIO100 with the data and info I obtained. To do so we would need to exclude all conflicts with less than 100 deaths a year
# and this data is not provided.
# Overall I don't know how the authors get to their data and their analysis. But using their data we obtain the same insight!
################################
#setting the location
#reading the data
#difference in months
#the duration in months
#simple recoding
#getting the mean of the duration of conflicts
#########
#Running a simple survival analysis on the duration and whether the conflict ended or not.
#using weibul, and gaussian distributions as well as cox regressions.
#using weibul distribution
#using the gausian distribution
#using a cox regression

#using the data from the author yields similar results but it loses significance for models 3 and 4!!",The analysis clearly shows that conflicts last longer than all other types of conflicts,The results show evidence for the relationship/effect as described in the claim provided in your task,4,4,93,Same conclusion
2022.05.12. 14:56:36,N0WPB,Axt_JournExpSocPsych_2018_zK2,Post-Doc Researcher,Post-Doc Researcher,Doctoral degree or equivalent,Psychology,Psychology,"decision research, intuition, information distortion, coherence-based reasoning",15,Once every two weeks,8,No,No,R,"Before analysis, I removed all participants with > 10% too fast reaction times on the MC-IAT as defined in the article (but I also checked whether results hold without the exclusion criterion; they do). I then compared the D-scores of the MC-IAT provided by the authors for each racial non-dominant subgroup for words with positive valence against 0 using directed t-tests. I also calculated an overall t-test ignoring subgroup.",The claim could be validated. Participants in non-dominant racial groups associate positive words with their ingroup more strongly than positive words with the dominant group (= ingroup favoritism for positive valence on an indirect measure) as indicated by statistically significant negative D-scores in each subgroup and overall.,The results show evidence for the relationship/effect as described in the claim provided in your task,4,5,94,Same conclusion
2022.05.12. 15:18:22,EEDG6,Adida_CompPolitStu_2016_G0Kb,Doctoral Student,Doctoral Student,Master's degree or equivalent,"Psychology, Consumer Behaviour",Psychology,"Food psychology, lay beliefs, implicit measurement",4,Once every two weeks,6,No,No,R,"This survey experiment study focused on voter support for President Yayi of Benin and had three experimental conditions: a control condition with no priming, a first experimental condition with a “wife cue” and a third experimental condition with a “Fon wife cue”. The authors’ hypothesis is that priming the ethnicity of the president’s wife (Fon) increases support for the president, but only for participants that share the same Fon ethnicity with the president’s wife. 

The dependent variable in this dataset is BoniVote, a binary yes/no variable (coded with 1 = yes). I constructed an independent variable “condition” out of the existing (Control, Femme & FemmeFon) dummy variables. Based on the authors’ script I constructed a FonGroupNonCoethnic variable, assigning 1 to participants that share the same ethnic group as the spouse of the president. 

Given the binary dependent variable, I opted for logistic regression with BoniVote as the dependent variable, and condition and Fon co-ethnicity as independent variables. The focus of this test is the interaction term of the independent variables.  

The voting support for President Yayi was significantly lower for Fon group members than non-Fon group members ( β = -2.58, 95% CI = [-3.58, -1.68], p < .001). However, priming of the ethnicity of the president’s spouse increased support but only for those who are part of the same group as the president’s spouse, the Fon group (β = 1.46, 95% CI = [0.27, 2.70], p = .0182). The odds ratio shows that the spouse’s ethnicity cue makes the odds for Fon group members to vote in favor of the president increase by 4.30.",Cueing ethnicity of the president's spouse increases voting support of the participants that share the spouse's ethnicity,The results show evidence for the relationship/effect as described in the claim provided in your task,4,4,95,Same conclusion
2022.05.12. 15:27:51,7NM5S,Bruner_ExpEco_2017_amYY,Post-Doc Researcher,Post-Doc Researcher,Doctoral degree or equivalent,Psychology,Psychology,"habits, value-based decision making, reinforcement learning",10,2-3 times a week,7,No,No,R,"Participants performed three tasks in this study - a probability variation (PV), risk variation (RV), and lottery variation (LV) task. Each task consisted of 10 items making participants choose between two options. The claim ""the likelihood ... [of decision error] should decrease with the degree of risk aversion"" of the original paper has been transformed into the operational hypothesis ""More frequent choices of safe options in both the risk and probability variation tasks are associated with fewer violations of stochastic dominance in the lottery variation task."" and the statistical hypothesis ""The average number of safe choices in the RV and PV tasks are negatively correlated with the number of violations of stochastic dominance in the LV task."" Thus, risk aversion was operationalized by the number  of choosing the safe over the risky option in the RV and PV tasks. Therefore, the number of times choosing the safe option was summed up for each task before calculating the arithmetic mean of safe choices across both tasks. Decision errors were operationalized as violations of stochastic dominance in the LV task. As all options in that task have the same expected value, dominance is defined (as in the original paper) as “the asset with the lower potential return but greater chance of success”, that is, by a higher chance of receiving an outcome even if this outcome has a lower magnitude than the alternative. Thus, each response can be categorized as a violation of stochastic dominance (i.e., a decision error) or no violation (except for item 5, in which both options are identical, which is why this item is excluded from the score of decision errors). The number of violations was summed up over all nine eligible items. As both variables (average number of safe choice in the PV and RV tasks, number of decision errors) are count data without normal distribution, Pearson correlation would be suboptimal. Furthermore, there are many ties in the data, which Spearman correlation cannot handle well. Therefore, Kendall’s tau was computed as the measure of association between risk aversion and decision errors. The level of statistical significance was set to α=0.05. This test resulted in a statistically significant negative correlation of Kendall’s τ=-.36, CI=[-.48,-.22], p<.001, signifying higher risk aversion being associated with fewer decision errors.","Higher risk aversion (i.e., more frequently favoring safe over risky options) was associated with fewer decision errors (i.e., fewer violations of stochastic dominance in a lottery task, in which both options were risky).",The results show evidence for the relationship/effect as described in the claim provided in your task,4,4,96,Same conclusion
2022.05.12. 15:52:43,30OYF,Bursztyn_JournPoliEco_2012_jaK4,Assistant Professor,Assistant Professor,Doctoral degree or equivalent,Economics,Economics,"behavioral, development, experiments",10,Once a week,7,No,No,STATA,"To compare the two treatments of interest, I first generate a treatment indicator that takes the value one for those who are in the text message treatment and zero for those who are in the baseline treatment. Note that this indicator is missing for the other two treatments that will be omitted for the analysis. As no raw willingness-to-pay data is available, I use the variable “WTP_dummy” created by the author that captures the fraction of participants who have a strictly positive willingness to pay for conditionality. 

As the treatment is randomized at the individual level, the number of observations is not very large (n=111) and no clustering needs to be taken into account, I first use a non-parametric test to assess whether the proportions of parents willing to pay to keep conditionality is different in the text message as compared to the baseline treatment. The small p-value of the chi-squared test (p < 0.001) rejects equality of proportions. As the mean of the WTP_dummy is baseline is 0.82 and 0.20 in the message treatment, I conclude from the non-parametric analysis that the claim to be evaluated is correct.

In addition, I run probit regressions (rather than OLS as the outcome is binary): WTPdummy_i = a + b*treatment_i + e_i, where b is the coefficient of interest. To confirm the original claim, this coefficient should be negative and statistically significantly different from zero. In my preferred specification, standard errors are not clustered as the treatment was randomized at the individual level and my inference focusses on the sample, not a broader population. The estimated coefficient of interest is negative and statistically significant (p<0.001). To control for any characteristics of the implementation, I estimate a similar regression that includes school and surveyor fixed effects. I chose not to add further controls to avoid overfitting. Even though I lose 12 observations due to no variation in the outcome variable for four surveyors and multicollinearity, the coefficient is basically identical in size and significance. 

As a robustness check, I re-run the two specifications mentioned above with standard errors clustered either at the school or the surveyor level. Lastly, I use randomization inference for the p-values of the probit regressions as the number of observations is relatively small. None of these robustness checks changes the direction or the significance of the coefficient of interest.","robustness checks changes the direction or the significance of the coefficient of interest. Overall, I conclude from my analysis that the original claim holds.",The results show evidence for the relationship/effect as described in the claim provided in your task,4,4,97,Same conclusion
2022.05.12. 16:57:48,1BQRY,Shahar_JournConflictRes_2018_J0Yv,Post-Doc Researcher,Post-Doc Researcher,Doctoral degree or equivalent,Psychology,Psychology,"psychopathology, network analysis, replicability",5,2-3 times a week,7,No,No,R,"Descriptive statistics of the four items measuring WSC [willingness to self-censor], in the context of different recipients, were calculated, and the pattern of missing values was examined. The dataset does not include any missing data, and all the values lie within a theoretically plausible range (from 1 to 6). To answer the research question (i.e., does the perception of distance from potential information recipients lead to higher WSC?) and given the within-subject design of the study/available data, a one-way repeated measures ANOVA was estimated. The RM factor has four levels corresponding to (1) close relationships, (2) superiors, (3) Israeli NGOs, and (4) non-Israeli NGOs. A large, statistically significant effect of information recipients’ closeness on WSC was observed, F(3,210) =  47.85, p < .001, generalized η² = .20. The more distant is the recipient, the higher one’s willingness to self-censor.","The more distant is the recipient, the higher one’s willingness to self-censor.",The results show evidence for the relationship/effect as described in the claim provided in your task,4,2,98,Same conclusion
2022.05.12. 17:23:47,GTBT1,Goerg_JournLabEco_2010_WLpV,Assistant Professor,Assistant Professor,Doctoral degree or equivalent,Economics,Economics,"contests, learning, bounded rationality",8,2-3 times a week,9,No,No,STATA,"The claim that I am evaluating comes from page 763, which says that under a production technology of complementarity, symmetrical scheme elicits substantially lower efforts and efficiency than a discriminating reward scheme. Therefore, I test whether in terms of effort and efficiency, treatment 444COM is below treatment 345COM. Note that in the paper, the term ""efficiency"" is synonymous with effort (e.g. see figure B5), so the claim only talks about the treatment difference in one variable, effort.

In the experiment, participants are matched in groups of 3 and make a binary decision: ""work"" (effort = 1) or ""shirk"" (effort = 0). The decision is repeated for a total of six times. The instructions reveal that the first round is different from the other five, as at the time of making that decision, participants are not aware about the rounds that will come later. The incentives are also higher for the first round (only one of the other five rounds is randomly selected for payment). An important decision is therefore which rounds should be used to conduct the analysis: only the first one (which models one-shot interaction with high incentives and no reputational concerns), only the last five, or all six rounds. In my opinion, the most reasonable approach is to use all the data that was collected, pooling all six rounds. I also study whether the results change if I use only the first round or only the last five rounds.

In terms of data aggregation, when rounds 1-6 or 2-6 are used, I calculate the average effort for each three-person group, across all rounds. This means that for each three-person group, I obtain a single number (between 0 and 1), and these observations are independent because the groups did not interact with each other. The appropriate test for such a continuous variable is the non-parametric Mann-Whitney U test. When using only the first round, the decision of each participant are independent (since no interaction has occurred at the time when decision was made), therefore the data is not aggregated and I use the raw binary decisions. To evaluate the statistical significance, I use Fisher's exact test. All reported p-values are two-tailed.

The hypothesis is that average effort is significantly lower in 444COM than in 345COM treatment. 

If I have to pick one test to test the hypothesis, I would aggregate all six rounds and use a Mann-Whitney U test. The p-value of this test is 0.0649, which is the same as reported in the paper (Table 3, although the paper incorrectly labelled that row as ""Statistical comparison rounds 1-5""; it should say ""Statistical comparison rounds 1-6""). The difference is therefore above the conventional 0.05 threshold and would have to be classified at least as ""marginally significant"". To be fair, the authors did not use the word ""statistically"" significant in the statement, instead saying that it was ""substantially lower"", which might refer to the economic size of the effect.

The second-best test uses only first-round data. The two-tailed p-value of Fisher's exact test is 0.330, contrary to the value in Table 3 (which shows the one-sided p=0.208, although the note states that all p-values are two-sided). 

All data analysis was done using Stata 14.2.","Overall, I agree with the statistical methods used by the authors. I also find that the p-value that is primarily used to evaluate the treatment difference is accurate (p=0.0649), although I do not agree that this test, as well as other tests, support the statement that effort is significantly lower in 444COM than in 345COM. I found that the authors generally reported the correct p-values, although there were some minor errors in the labelling of table 3 (the values are calculated using rounds 1-6 rather than 1-5 and the p-value of the Fisher's exact test is one-sided, contrary to the note). These errors do not change the evaluation of the claim, but they might change the evaluation of other claims made in the paper.",The results show evidence for the relationship/effect as described in the claim provided in your task,5,5,99,Same conclusion
2022.05.12. 18:57:08,AMDFX,Sliwka_JournLabEco_2017_VDJV,Associate Professor,Associate Professor,Doctoral degree or equivalent,"Economics, Psychology",Economics,Experimental economics,22,2-3 times a week,8,No,No,STATA,"2.4. Please report the most important steps of the analysis to the level of detail that you would provide in a methods/analysis section of a typical research article. Include any preprocessing steps that you conducted on the dataset. Describe the exact statistical hypothesis you tested and explain the reason for choosing the statistical procedure you applied. Finally, please report the result of your statistical test(s).

The statement to be tested is “…increasing wage profiles significantly raise overall performance when wage increases occur continuously and agents do not know the full wage profile in advance.” First, let me comment on the two qualifications included in the statement. First, wage increases occur continuously; second, agents do not know the complete wage profile in advance. I think that the second qualifier is justified. The first, however, strikes me as inconsistent with the exposition. The introduction, experimental design, theoretical analysis, and experimental software all suggest that T_Sudden is the primary treatment. It is the first treatment by numbering (in the paper and in the data), and the one referred to explicitly in the theory section and depicted graphically in Figure 1. It is also the only one of the three treatments coded in the z-Tree program included in the provided materials. Furthermore, another conclusion contained in the paper is that wage increases do not affect effort if known in advance. The difference between T_Succesive and T_Continuous is that “wages were increased regularly, and thus more predictably… in T_Continuous” (p. 306), implying a weaker effect in this treatment. Thus, the focus on T_continuous is inconsistent with the motivation behind the experimental design and the overall message. Any test focusing on T_Sudden, or any joint test for the three increasing-wage treatments, is non-significant. 
I now describe the analysis of the specified treatment effect (Baseline vs. T_Continuous).
1. Pairwise comparisons
The most straightforward test is a pairwise comparison of treatments at the mean subject level. An exact Mann-Whitney test comparing Baseline with T_Continuous yields a non-significant result of p=.483. Similarly, a bootstrap t-test yields z=-1.19, p=.236.
2. Regressions
An OLS regression of output based on treatment, allowing for different time trends in the different treatments and controlling for ability with robust standard errors clustered on subjects, yields no significant effects for any marginal treatment comparison. The marginal contrast of Baseline vs. T_Continuous yields t=1.26, p=.210 (note: all results are robust to individual fixed effects and/or removing time trends from the model). However, the marginal effect of the T_Continuous treatment fixing ability yields a weakly significant t=1.90, p=.059. Note: this is essentially the result reported in the paper. There are some differences between my specification and the one used in the paper. The difference that brings the p-value below the standard threshold of .05 is that the analyses reported in the paper take the log of the output as the dependent variable (actually, the log of output * 8  + 1, which shaves a few more points off the p-value). I chose to use the raw output because a Skewness/Kurtosis test does not reject the hypothesis that the output variable is normally distributed but does indicate that the log output is not normally distributed. The paper does not explain the choice of taking the log output.
3. Interpretation and further analyses
The interpretation of these results is the following. The participants in T_Continuous took more time than participants in other treatments to complete their unpaid practice task. They are therefore expected to do worse in the experimental task. The fact that they did not perform worse than the participants in Baseline (who did better in the practice task) is taken to indicate that the continuous-increase wage schedule increased performance. This indirect evidence for the treatment effect requires more scrutiny. First, I confirmed that participants took more time in T_Continuous to complete the practice task by regressing the practice time on the different treatments. Indeed, the time taken in T_Continuous is significantly higher than in the Baseline (t=2.49, p=.014). Accounting for the censoring in a Tobit regression yields t=2.63, p=.009. Furthermore, more participants did not complete the practice task in T_Continuous (34.55%) compared to Baseline (17.81%, χ2=4.69, p=.030 for the difference). Thus, there is strong evidence that the main result results from a non-random allocation into treatments. Therefore, the conclusion relies on an auxiliary assumption that the practice time measures ability. If this is the case, controlling for practice time in the regression addresses the randomization failure. But other interpretations are also possible. For example, some participants felt they had enough practice to understand the task and decided not to complete it (recall that this task was unpaid). In that case, controlling for practice time in the regression leads to the wrong conclusion. Some alternatives are also valid. For example, suppose the difference is not in ability but motivation. If this is the correct explanation, this is not a problem as long as the differential motivation equally impacts the practice and the experimental task. I tested this by regressing the output on practice time interacted with the treatments. Practice time correlates significantly with output in T_Succesive (t=-3.42, p=.001) and T_Continuous (t=-2.86, p=.005) but not significantly in Baseline and T_Sudden. Therefore, the difference in practice time may indeed mask an actual treatment effect, in line with the claim made in the paper.
What caused the randomization failure? Plausibly, this is due to session effects. Perhaps different sessions were conducted at different times, by different experimenters, etc., which somehow affected participants’ ability or motivation? Luckily, most sessions included two treatments, enabling testing for session effects. I tested the difference in practice time across treatments again, this time adding fixed effects for sessions. The treatment effect is now non-significant and in the opposite direction to before. Accordingly, I reran my main specification with session fixed effects. The difference between T_Continuous and Baseline is now non-significant (t=1.19, p=.234).",There is no evidence that overall performance is higher under an increasing wage schedule compared to a flat baseline,The results do not show evidence for or against the relationship/effect as described in the claim provided in your task,5,5,100,No effect/inconclusive
2022.05.12. 19:59:36,R08MV,Woltin_JournExpSocPsych_2011_Wre,Post-Doc Researcher,Post-Doc Researcher,Doctoral degree or equivalent,Psychology,Psychology,"diversity, stereotypes, gender",8,Once a week,7,No,No,SPSS,"A power analysis indicated the need for at least 200 participants to have adequate 80% power to detect small to medium effect sizes (f = 0.20 or η2 = 0.0385) when employing the traditional .05 alpha-criterion of statistical significance.
The data provided by Woltin et al. (2011) for Study 3 included data from 36 participants (all male).

Participants indicated their emphatic concern on 7 items (IRI; Davis, 1980) and the resulting scale had acceptable internal consistency, alpha = .67. 
Analysis of variance (ANOVA) was conducted on the dependent measure in order to test the hypothesis that participants primed with low rather than high power would report more emphatic concern. Partial eta squared values (ηp2) are reported as effect sizes.

In support of this hypothesis, ANOVA results revealed that participants reported significantly greater empathic concern when primed with low (M=3.89, SD= 0.45) than high power (M=3.47, SD= 0.60), which was a significant difference, F(1,34) = 5.76, p= .022, ηp2 = .15.","Participants reported greater empathic concern when primed with low rather than high power, indicating that the induction of low power contributed to increasing participants' level of empathic concern.",The results show evidence for the relationship/effect as described in the claim provided in your task,5,3,101,Same conclusion
